ANALIZA PROMOCJI GenActiv — 12 miesiecy (2025-07-21 do 2026-07-21)

=== PODSUMOWANIE OGOLNE ===
Metryka,Wartosc,Jednostka
Zamowienia oplacone,3065,szt
Revenue (totalPrice),775579.0,PLN
Suma rabatow,118054.0,PLN
AOV (srednia wartosc zamowienia),253.0,PLN
Items per order,1.58,szt
Srednia cena 1 produktu,160.0,PLN
Discount rate (rabaty/revenue+rabaty),13.2%,

=== SEGMENTACJA: RABAT vs BEZ RABATU ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order
Z rabatem/kodem,2263,73.8%,577157,255,1.62
Bez rabatu,802,26.2%,198422,247,1.48
Sredni rabat/zam (disc only),52,PLN

=== SEGMENTACJA: DARMOWA vs PLATNA DOSTAWA ===
Segment,Zamowienia,% zamowien,Revenue PLN,AOV PLN,Items/order,Sr. koszt dostawy PLN
Darmowa dostawa (>=300 PLN),799,26.1%,346008,433,2.41,0
Platna dostawa,2266,73.9%,429571,190,1.29,15

=== PLATNA DOSTAWA — SZCZEGOLY (bez grupy free shipping) ===
Metryka,Wartosc
Zamowienia,2266
Produktow (szt),2922
Srednia cena 1 produktu,147
AOV (subtotal bez dostawy),177
AOV (z dostawa),190
Items/order,1.29
Brak do progu darmowej dostawy (300 PLN),123

=== NOWY vs POWRACAJACY KLIENT ===
Segment,Nowy klient,% nowy,Powracajacy,% powracajacy
Z rabatem,1147,50.7%,1116,49.3%
Bez rabatu,456,56.9%,346,43.1%
TOTAL,1603,52.3%,1462,47.7%

=== TYPY RABATOW ===
Typ,Zamowienia,% udzial
15% na LINE_ITEM,1637,63.1%
100% na SHIPPING_LINE,460,17.7%
20% na LINE_ITEM,283,10.9%
30% na LINE_ITEM,193,7.4%
50% na LINE_ITEM,18,0.7%
fixed 0.0 na SHIPPING_LINE,1,0.0%
fixed 72.0 na SHIPPING_LINE,1,0.0%
25% na LINE_ITEM,1,0.0%


=== TOP KODY RABATOWE (wszystkie) ===
Kod,Typ rabatu,Zamowienia,Revenue PLN,Rabat total PLN,AOV PLN,Items total,Items/order,Sr. rabat PLN,Nowy klient,Powracajacy,% nowy,Darmowa dostawa,% darmowa dost.
"COLOSTRUM  GENACTIV, zawiesina, płyn - dwupak",58,16078,53,277,38,71.7%,42,72.4%
"Genactiv Colostrum A2, proszek",65,15925,58,245,43,74.1%,46,70.8%
MASKA Z COLOSTRUM GENACTIV,92,14628,80,159,62,77.5%,72,78.3%
KREM Z COLOSTRUM GENACTIV,251,13805,157,55,78,49.7%,114,45.4%
SERUM Z COLOSTRUM GENACTIV,72,12888,64,179,51,79.7%,59,81.9%
"COLOSTRUM GENACTIV, kapsułki - Trójpak",45,12735,40,283,32,80.0%,35,77.8%
"COLOSTRUM JUNIOR Z CZARNYM BZEM GENACTIV, zawiesina",70,11830,60,169,30,50.0%,36,51.4%
"Genactiv Colostrum A2, kapsułki",87,11745,69,135,48,69.6%,57,65.5%
"COLOSTRUM I MLEKO KLACZY GENACTIV, kapsułki",32,9568,28,299,23,82.1%,26,81.2%
"COLOSTRUM I MLEKO KLACZY GENACTIV, proszek - Dwupak",14,9212,13,658,11,84.6%,12,85.7%
"COLOSTRUM Z MALINĄ  GENACTIV, tabletki do ssania - dwupak",51,8211,43,161,32,74.4%,38,74.5%
"COLOSTRUM Z MALINĄ GENACTIV, tabletki do ssania",96,8160,76,85,54,71.1%,70,72.9%
"COLOSTRUM JUNIOR Z CZARNYM BZEM GENACTIV, proszek",63,8127,50,129,38,76.0%,49,77.8%
"COLOSTRUM JUNIOR Z CZARNYM BZEM GENACTIV, zawiesina, dwupak",26,7514,24,289,22,91.7%,24,92.3%
"COLOSTRUM Z BANANEM GENACTIV, 30 saszetek",65,7475,46,115,30,65.2%,42,64.6%


=== DWUPAKI / ZESTAWY ===
Nazwa,Units,Revenue PLN,Zamowienia,Sr. cena PLN,Z rabatem (zam),% z rabatem
"COLOSTRUM GENACTIV, kapsułki - Dwupak",145,49300,128,340,93,72.7%
FIBERBIOM - Błonnik + Colostrum - Dwupak,103,31037,93,301,66,71.0%
"COLOSTRUM  GENACTIV, proszek - dwupak",66,22440,49,340,39,79.6%
"COLOSTRUM  GENACTIV, zawiesina, płyn - dwupak",58,16078,53,277,38,71.7%
"COLOSTRUM I MLEKO KLACZY GENACTIV, proszek - Dwupak",14,9212,13,658,11,84.6%
"COLOSTRUM Z MALINĄ  GENACTIV, tabletki do ssania - dwupak",51,8211,43,161,32,74.4%
"COLOSTRUM JUNIOR Z CZARNYM BZEM GENACTIV, zawiesina, dwupak",26,7514,24,289,22,91.7%
Zestaw Colostrum z brzoskwinią i Fiberbiom z Ananasem,30,6750,28,225,26,92.9%
Zestaw Colostrum z brzoskwinią i Fiberbiom z czarną porzeczką,27,6075,26,225,19,73.1%
"COLOSTRUM I MLEKO KLACZY GENACTIV, proszek 50g  - Dwupak",19,5786,18,305,12,66.7%
"GENACTIV COLOSTRUM JUNIOR Z CZARNYM BZEM,  proszek - dwupak",23,5635,21,245,20,95.2%
"COLOSTRUM Z BANANEM, proszek - Dwupak",8,5032,8,629,5,62.5%
"GENACTIV COLOSTRUM JUNIOR Z CZARNYM BZEM, tabletki do ssania - dwupak",22,3718,21,169,15,71.4%
FIBERBIOM Z ANANASEM DWUPAK,11,3289,10,299,7,70.0%
FIBERBIOM Z CZARNĄ PORZECZKĄ DWUPAK,11,3289,11,299,9,81.8%
"Genactiv Colostrum A2, kapsułki Dwupak",12,2748,11,229,6,54.5%
"Genactiv Colostrum A2, proszek dwupak",6,2514,6,419,5,83.3%
"COLOSTRUM I MLEKO KLACZY GENACTIV, kapsułki - dwupak",5,2490,5,498,4,80.0%
"COLOSTRUM GENACTIV,, kapsułki - dwupak",11,2189,11,199,9,81.8%
"COLOSTRUM Z BANANEM GENACTIV, proszek - dwupak",8,1744,7,218,6,85.7%
"COLOSTRUM Z CZARNĄ PORZECZKĄ GENACTIV, proszek - Dwupak",5,1645,4,329,3,75.0%

TOTAL DWUPAKI/ZESTAWY,661,196696,590,298,,
% calej sprzedazy (revenue),,25.4%,19.2%,,,


=== TRENDY MIESIECZNE ===
Miesiac,Zamowienia,Revenue PLN,AOV PLN,Rabaty PLN,Items,Items/order,Z rabatem,% z rabatem,Darmowa dost.,% darmowa,Nowy klient,Powracajacy,% nowy
